id	gene_symbol	Description(s)	PanPan	PanTro	HomSap	GorGor	PonPyg	PonAbe	SymSyn
41	FRMPD3	FERM and PDZ domain containing 4;FERM and PDZ domain containing 3	57.812	57.812	55.556	58.036	58.036	58.036	54.927
42	PRPS2	phosphoribosyl pyrophosphate synthetase 2;phosphoribosyl pyrophosphate synthetase 1	94.393	94.393	94.393	95.283	94.393	94.393	94.154
45	TMSB15B	thymosin beta-15A-like;thymosin beta 15C;thymosin beta 4 X-linked;thymosin beta-15A;thymosin beta 15B;thymosin beta 15A;thymosin beta-10-like	73.171;77.500;70.455;93.182;97.778;95.455	97.778;70.455;97.727;70.455;95.455;77.500	70.455;100.000;67.442	93.182;76.923;93.182;75.610;100.000;75.610	100.000;100.000;56.410;70.455;100.000;56.410;70.455;56.410;70.455;63.415	63.415;70.455;70.455;70.455;56.410;56.410;56.410;100.000;100.000;100.000	70.455;71.429;75.610;91.429;97.778;91.429
51	RAB9A	RAB9A, member RAS oncogene family;RAB9B, member RAS oncogene family	76.119	76.119	76.119	76.617	76.617	76.617	0
56	putative ubiquitin-conjugating enzyme E2 D2-like protein	putative ubiquitin-conjugating enzyme E2 D2-like protein;ubiquitin-conjugating enzyme E2 D2-like;ubiquitin-conjugating enzyme E2 E3-like	50.667	0	0	0	0	0	0
57	GLRA2	glycine receptor alpha 2;glycine receptor subunit alpha-4;glycine receptor alpha 4	81.609	85.000	0	81.839	80.505	87.629	81.839
60	ASB11	ankyrin repeat and SOCS box containing 11;ankyrin repeat and SOCS box containing 9	55.303	55.303	55.725	54.924	54.924	54.924	55.303
68	CA5B	carbonic anhydrase 5B, mitochondrial-like;carbonic anhydrase 5B;putative inactive carbonic anhydrase 5B-like protein	0	0	0	67.763	88.889	0	0
71	BRS3	bombesin receptor subtype 3;gastrin releasing peptide receptor	59.621	59.621	59.621	59.621	59.621	59.621	59.937
72	MAGEB16	melanoma-associated antigen B2;melanoma-associated antigen B18;melanoma-associated antigen C2-like;melanoma-associated antigen C2;MAGE family member A9;MAGE family member B6;melanoma-associated antigen 8-like;melanoma-associated antigen 9-like;putative MAGE domain-containing protein MAGEA13P;MAGEA10-MAGEA5 readthrough;melanoma-associated antigen C1-like;MAGE family member A3;MAGE family member A6;melanoma-associated antigen B16;melanoma-associated antigen 12;melanoma-associated antigen B10-like;MAGE family member A2B;MAGE family member B1;MAGE family member C2;MAGE family member B17;melanoma-associated antigen 9;MAGE family member B10;melanoma-associated antigen 10-like;MAGE family member A10;MAGE family member A1;MAGE family member C1;melanoma-associated antigen 11;MAGE family member B3;melanoma-associated antigen 2;melanoma-associated antigen C3-like;melanoma-associated antigen 6;MAGE family member B2;MAGE family member A2;MAGE family member A9B;MAGE family member B16;MAGE family member B5;melanoma-associated antigen B4;MAGE family member C3;MAGE family member A8;melanoma-associated antigen B18-like;melanoma-associated antigen 3-like;MAGE family member A4;melanoma-associated antigen 8;melanoma-associated antigen B1;MAGE family member B6B;melanoma-associated antigen 3;melanoma-associated antigen B10;melanoma-associated antigen B6;MAGE family member A11;MAGE family member B4;MAGE family member A12;MAGE family member B18;melanoma-associated antigen C1	100.000;53.968;51.863;100.000;54.890;45.283;41.288;42.633;63.608;63.608;46.190;70.440;53.271;99.365;54.890;39.310;41.045;40.968;59.375;57.098;41.297;99.683;99.365;40.506;40.063;51.643;39.172;53.943;50.150;63.291;42.730;63.608;63.291;54.106;44.127;48.246;53.968;51.863;100.000;54.890;45.283;41.288;42.633;63.608;63.608;46.190;70.440;53.271;99.365;54.890;39.310;41.045;40.968;59.375;57.098;41.297;99.683;99.365;40.506;40.063;51.643;39.172;53.943;50.150;63.291;42.730;63.608;63.291;54.106;44.127;48.246;58.824;53.968;68.153;44.300;41.007;47.883;66.456;66.456;42.322;60.541;66.981;53.968;68.153;40.741;40.000;45.802;75.000;68.153;43.003;54.286;53.968;43.051;38.961;48.826;41.667;67.197;52.905;66.139;42.230;66.456;66.139;43.689;46.241;42.014;51.863;57.962;48.750;39.564;51.097;60.000;60.000;39.873;70.000;57.547;51.863;57.962;43.750;43.750;41.693;61.688;59.554;43.478;52.174;51.863;44.201;42.271;51.402;42.500;58.917;54.627;60.317;45.833;60.000;60.317;40.864;45.110;43.082;54.890;45.283;41.288;42.633;63.608;63.608;46.190;70.440;53.271;99.365;54.890;39.310;41.045;40.968;59.375;57.098;41.297;99.683;99.365;40.506;40.063;51.643;39.172;53.943;50.150;63.291;42.730;63.608;63.291;54.106;44.127;48.246;42.154;34.796;46.082;63.694;63.694;37.618;62.112;81.761;54.890;100.000;32.768;37.452;35.962;67.302;87.898;39.812;55.205;54.890;40.127;38.801;44.907;38.384;81.529;50.149;64.013;38.509;63.694;64.013;40.312;41.009;40.881;42.593;46.319;44.937;44.937;44.514;48.404;39.319;45.283;42.154;47.737;38.438;47.059;46.395;42.138;46.440;45.597;45.283;48.607;45.231;50.704;45.631;39.185;48.802;45.192;44.599;44.937;45.192;41.418;46.605;57.709;38.050;38.545;38.545;44.688;43.386;33.750;40.755;34.796;39.665;42.322;48.547;39.498;35.423;46.647;41.288;40.755;43.064;41.499;41.748;42.899;33.542;38.810;38.545;36.525;38.545;38.545;34.109;51.713;44.037;50.629;50.629;42.154;54.717;43.963;43.260;46.082;38.854;38.078;42.939;48.867;44.828;40.625;42.947;43.260;46.286;42.693;48.178;40.443;44.514;50.437;50.943;44.079;50.629;50.943;42.767;44.940;40.688;100.000;39.185;63.128;61.950;63.608;63.694;35.574;42.400;40.000;71.565;64.650;40.952;63.924;63.608;41.587;40.000;50.000;42.122;61.783;55.090;99.686;42.902;100.000;99.686;56.039;43.492;42.395;39.185;63.128;61.950;63.608;63.694;35.574;42.400;40.000;71.565;64.650;40.952;63.924;63.608;41.587;40.000;50.000;42.122;61.783;55.090;99.686;42.902;100.000;99.686;56.039;43.492;42.395;43.646;38.199;45.714;37.618;42.857;38.847;50.470;42.675;38.245;63.924;46.190;45.714;50.949;49.843;48.558;52.443;37.736;41.071;38.871;44.014;39.185;38.871;35.563;65.625;46.815;57.143;69.811;62.112;47.799;43.396;46.541;57.838;62.733;47.097;70.440;69.811;49.689;46.875;48.750;45.342;57.143;65.363;62.570;45.498;63.128;62.570;53.125;49.689;51.250;53.271;81.761;33.918;37.743;36.223;66.458;82.390;39.130;53.583;53.271;40.312;40.810;44.907;37.874;91.509;47.788;61.635;40.379;61.950;61.635;43.813;40.187;38.462;54.890;38.966;40.672;40.323;59.375;57.098;40.909;99.683;100.000;40.506;40.063;51.174;39.172;53.943;50.150;63.291;42.730;63.608;63.291;53.623;43.492;47.807;32.768;37.452;35.962;67.302;87.898;39.812;55.205;54.890;40.127;38.801;44.907;38.384;81.529;50.149;64.013;38.509;63.694;64.013;40.312;41.009;40.881;70.762;42.582;37.742;34.746;45.278;39.310;38.966;41.504;39.617;39.738;42.120;33.051;36.111;35.294;36.364;35.574;35.294;38.298;44.444;39.944;50.000;41.176;39.526;52.239;41.045;40.672;48.263;35.049;41.485;39.130;36.576;34.140;42.000;42.130;42.400;42.000;35.235;41.542;48.529;44.643;35.647;53.125;40.645;40.323;50.751;48.266;39.527;50.968;35.535;42.522;40.000;40.196;40.000;40.000;46.286;57.632;47.284;68.889;44.625;59.688;59.375;44.803;42.138;50.233;43.226;66.984;52.239;71.565;43.260;71.565;71.565;45.608;46.290;45.695;40.752;57.413;57.098;38.924;39.117;44.286;37.855;81.210;49.254;64.331;40.063;64.650;64.331;40.625;39.809;40.566;41.259;40.909;54.375;54.571;46.305;54.426;38.245;43.787;40.635;42.361;40.952;40.635;38.346;66.954;52.716;99.683;40.823;40.379;51.643;39.490;54.259;50.450;63.608;43.027;63.924;63.608;54.106;43.810;48.246;40.506;40.063;51.174;39.172;53.943;50.150;63.291;42.730;63.608;63.291;53.623;43.492;47.807;52.532;40.672;52.381;39.873;43.860;41.587;45.455;41.587;41.587;40.304;51.014;50.289;40.446;50.000;41.009;43.860;40.000;42.160;40.000;40.000;40.756;54.155;59.827;49.524;44.907;54.894;50.000;67.355;50.000;50.000;49.289;52.709;36.792;42.029;42.122;44.891;42.122;42.122;41.353;56.721;48.208;48.060;62.102;39.130;61.783;62.102;40.994;39.748;37.695;54.790;50.704;55.090;54.790;51.587;47.443;51.471;42.902;99.686;100.000;56.039;43.492;42.395;42.902;42.902;50.898;46.269;40.000;99.686;56.039;43.492;42.395;56.039;43.492;42.395;46.701;52.077	43.082;60.000;36.842;57.962;62.013;52.174;58.497;58.176;59.554;41.958;44.201;39.873;45.110;52.174;59.873;41.693;54.627;51.111;42.271;51.402;60.000;46.341;43.478;39.571;57.962;42.500;52.174;48.750;42.628;38.827;40.881;45.695;48.246;42.361;38.769;40.566;46.701;50.289;46.497;52.077;48.246;37.695;47.284;51.471;40.688;59.827;52.709;42.395;48.031;52.716;44.037;40.881;48.208;48.246;57.709;35.278;63.694;71.565;64.241;66.772;61.950;64.331;56.039;41.587;39.185;43.492;64.241;61.146;40.000;54.491;50.943;40.000;50.000;99.057;44.089;40.952;37.956;63.694;42.444;64.241;44.937;32.768;37.742;39.310;40.449;34.211;34.746;38.333;42.416;42.737;44.444;39.310;33.051;42.105;36.111;38.535;40.054;39.738;35.574;36.271;45.278;39.385;32.768;42.120;39.310;47.737;67.619;55.205;67.834;82.075;87.261;47.111;40.127;37.618;41.009;55.205;81.210;35.647;50.149;45.397;38.801;44.907;63.694;38.629;39.812;36.610;100.000;38.384;55.205;42.154;59.688;75.658;66.144;68.254;45.818;44.803;42.628;44.964;59.688;68.254;44.286;52.239;49.191;42.138;50.233;71.565;43.082;44.625;39.088;67.619;43.226;59.688;46.395;54.286;54.206;57.098;57.714;40.823;46.190;43.810;100.000;54.574;40.645;50.450;43.038;40.379;51.643;63.924;41.259;41.288;55.205;39.490;100.000;45.597;66.667;67.516;48.571;43.390;42.435;46.617;54.286;66.561;45.802;53.211;48.185;39.286;49.296;66.772;43.051;43.345;40.698;67.834;42.014;54.286;44.625;82.075;49.554;40.625;38.344;40.498;54.206;91.195;36.928;48.378;43.887;41.121;45.370;61.950;40.823;39.441;35.932;82.075;37.338;54.206;39.628;46.667;38.924;38.438;40.694;57.098;80.892;35.331;48.955;44.444;39.117;44.286;64.331;40.190;40.752;35.737;87.261;37.855;57.098;42.138;40.304;37.692;43.644;57.714;47.768;46.286;51.587;47.059;39.662;56.039;50.146;38.346;34.884;47.111;41.353;57.714;41.544;50.633;51.014;40.823;39.557;50.432;43.860;46.552;52.532;47.805;41.587;44.444;54.375;43.827;40.127;52.381;40.823;48.607;65.312;46.190;37.578;50.629;41.071;42.154;49.530;48.558;39.185;51.942;63.608;45.312;37.618;52.117;46.190;44.514;43.810;39.748;57.321;47.443;48.227;54.155;49.289;43.492;46.269;67.241;51.090;41.009;57.143;43.810;46.605;54.574;40.645;50.450;43.038;40.379;51.643;63.924;41.259;41.288;55.205;39.490;100.000;45.597;35.535;48.060;43.810;41.009;44.444;61.146;39.557;38.871;34.483;81.210;36.792;54.574;39.498;41.716;43.642;48.266;39.527;40.000;40.328;52.812;50.000;35.647;50.645;40.645;47.059;51.020;43.860;54.894;55.090;51.056;43.787;40.237;50.149;42.029;50.450;48.802;43.266;48.594;50.314;44.737;40.909;40.625;45.397;40.720;43.038;46.319;40.446;40.000;42.160;54.571;42.284;38.801;50.000;40.379;45.231;50.000;60.494;46.305;42.233;44.907;49.524;51.643;50.704;43.450;40.952;38.545;63.694;42.122;63.924;44.937;43.110;38.235;38.629;45.018;44.599;47.536;39.812;54.426;41.259;46.440;36.610;43.648;41.288;42.901;38.384;55.205;42.154;39.490;45.631;45.597	43.350;49.767;44.286;64.062;43.730;43.404;64.062;67.619;43.885;51.032;67.619;68.254;42.628;68.254;72.204;62.013;43.175;41.057;68.571;44.951;43.854;40.074;74.342;77.600;42.671;45.141;51.837;33.333;51.445;50.916;28.205;51.445;46.199;34.351;42.756;46.199;48.235;30.208;48.235;55.000;45.665;31.597;31.797;39.344;31.058;35.426;32.768;55.118;34.694;32.647;32.986;38.511;50.235;68.595;40.777;50.235;44.907;48.815;54.274;44.907;45.370;47.115;45.370;50.000;50.935;48.293;38.865;44.286;45.813;52.217;39.738;48.826;52.174;47.556;49.296;39.683;44.444;53.309;39.683;36.909;55.988;40.282;36.909;36.278;50.157;36.278;42.405;42.006;50.144;43.478;36.593;52.188;47.923;45.333;45.038;32.353;50.751;47.678;49.621;43.830;100.000;58.991;47.656;50.445;58.991;59.621;45.714;59.621;66.456;58.934;42.612;36.760;59.306;41.379;45.946;39.925;60.265;52.756;40.127;47.040;42.130;49.621;40.187;45.270;52.416;40.187;41.745;48.444;41.745;43.038;47.212;45.172;42.105;40.498;44.014;37.918;42.333;36.842;45.183;49.785;43.830;39.574;53.091;44.318;39.574;37.339;48.980;37.339;42.060;42.562;46.970;45.868;38.298;49.638;50.833;46.281;45.299;46.591;49.793;58.991;47.656;50.445;58.991;59.621;45.714;59.621;66.456;58.934;42.612;36.760;59.306;41.379;45.946;39.925;60.265;52.756;40.127;47.040;40.694;49.263;100.000;84.395;37.618;84.395;63.694;58.280;40.127;34.098;88.217;39.812;40.566;37.931;66.879;68.548;38.801;42.462;46.348;40.694;39.172;65.312;39.172;43.492;44.795;51.014;41.294;40.446;66.667;53.035;48.944;47.482;31.452;54.335;47.988;49.263;47.788;38.529;47.788;55.325;53.392;42.604;41.241;48.673;43.567;52.206;34.080;51.964;38.889;41.193;46.746;84.395;37.618;84.395;63.694;58.280;40.127;34.098;88.217;39.812;40.566;37.931;66.879;68.548;38.801;42.462;38.050;100.000;63.694;59.873;40.190;41.089;85.350;39.812;38.365;37.452;66.879;71.774;38.170;41.693;38.050;39.241;40.823;50.633;46.591;38.245;62.975;46.729;39.348;40.000;51.466;43.887;63.694;59.873;40.190;41.089;85.350;39.812;38.365;37.452;66.879;71.774;38.170;41.693;60.635;41.905;40.400;64.968;41.587;43.366;39.000;67.089;61.417;42.122;46.154;44.514;42.248;59.554;44.479;42.271;42.969;58.824;59.055;42.188;48.113;47.490;39.241;54.545;53.116;49.421;45.033;34.343;52.976;50.158;38.672;51.493;36.318;80.344;41.473;30.208;38.107;46.281;41.009;40.063;38.735;66.879;69.355;38.080;41.846;52.077;52.612;42.712;35.294;54.381;47.059;49.510;49.145;34.247;48.882;57.709;39.583;47.163;41.176;67.742;44.151;46.254;30.894;37.008;46.130	39.114;59.554;43.887;53.211;40.498;42.357;41.860;43.168;59.873;57.994;59.873;59.561;40.252;59.683;50.935;35.039;59.561;58.917;61.039;40.854;49.530;47.170;58.917;46.840;39.692;43.887;54.277;42.079;48.944;51.754;45.833;36.567;72.727;50.746;36.719;40.945;36.719;36.496;42.697;39.073;37.991;29.954;36.496;36.719;43.089;37.592;37.542;46.610;36.719;41.148;43.667;47.490;36.182;40.764;46.429;38.730;40.566;35.876;41.562;88.854;67.524;88.854;59.937;35.826;65.287;47.143;47.368;59.937;84.395;67.302;37.037;44.201;41.846;84.395;43.019;35.647;38.924;49.558;63.566;65.190;51.757;45.278;66.092;40.446;52.586;40.446;43.960;50.779;43.492;42.336;33.460;43.960;39.812;43.682;53.939;44.643;45.846;39.812;45.802;53.736;49.709;46.348;67.890;64.885;53.509;64.348;49.107;55.556;49.107;50.893;56.303;47.706;55.319;29.286;50.893;47.321;52.679;58.394;53.191;61.739;47.321;59.441;55.072;65.035;60.584;48.571;42.179;64.062;39.048;41.368;39.048;38.170;44.375;40.625;48.077;33.333;38.170;38.050;44.551;50.633;42.006;42.947;38.050;48.661;49.057;49.051;40.000;38.310;50.955;40.752;42.857;40.752;45.520;44.377;42.628;53.695;34.081;45.520;39.185;44.186;48.889;41.261;56.828;39.185;50.000;46.965;52.011;52.290;45.556;33.898;45.588;33.898;37.013;41.199;39.931;41.827;38.211;37.013;34.181;38.095;42.897;36.364;44.056;34.181;38.351;41.667;42.340;35.556;38.871;43.709;38.871;41.924;45.714;41.587;46.798;30.479;41.924;39.812;45.277;53.797;41.193;47.368;39.812;42.254;51.411;54.545;43.275;66.881;100.000;58.675;35.514;64.331;46.759;45.882;58.675;88.854;68.571;37.346;46.082;41.846;88.854;40.994;36.278;40.506;50.147;66.881;59.752;38.730;67.302;50.718;48.315;59.752;66.881;73.765;42.295;49.211;45.538;66.881;41.558;46.209;44.518;51.829;58.675;35.514;64.331;46.759;45.882;58.675;88.854;68.571;37.346;46.082;41.846;88.854;40.994;36.278;40.506;50.147;41.509;65.506;51.643;42.982;100.000;58.360;63.750;39.735;46.395;46.226;58.360;43.123;39.865;51.964;39.051;42.233;27.957;41.509;34.891;39.812;43.188;36.571;43.210;34.891;41.667;47.674;41.908;38.095;51.442;54.375;65.506;63.376;70.927;40.952;50.629;45.513;63.376;41.066;42.633;41.587;55.325;83.333;51.643;45.714;50.233;51.429;50.201;51.174;45.714;67.769;38.782;47.009;54.894;42.982;45.763;41.872;31.366;39.262;32.292;45.763;49.084;32.093;30.208;43.110;58.360;63.750;39.735;46.395;46.226;58.360;43.123;39.865;51.964;67.937;37.117;44.514;40.566;100.000;42.547;35.647;39.241;47.493;41.042;48.867;45.141;67.937;41.479;44.128;42.295;52.096;40.988;45.988;37.117;47.312;50.000;51.724;39.828;45.399;44.514;45.902;42.651;45.977;49.857;40.566;50.935;47.059;47.222;47.337;42.547;35.647;39.241;47.493;44.074;45.172;50.347;48.415;40.936;43.353	46.444;41.453;47.761;51.643;52.558;47.222;64.883;45.270;46.190;41.748;50.000;46.759;46.759;73.933;41.924;69.397;44.291;50.718;53.478;54.867;51.429;45.813;50.952;50.732;46.844;41.924;50.476;41.036;73.588;49.758;45.270;42.500;44.720;49.383;42.671;48.696;42.230;44.514;39.117;43.574;53.043;39.241;39.241;47.083;39.308;45.946;43.887;43.894;50.872;46.471;52.754;50.144;48.718;56.522;43.804;39.308;45.079;42.857;46.154;50.470;44.514;44.944;46.914;36.937;40.616;38.372;38.264;34.746;44.280;40.278;34.320;34.320;41.453;35.503;38.783;37.987;42.481;38.268;43.023;45.833;47.253;44.126;44.568;38.978;35.503;37.255;64.811;40.598;45.251;38.264;48.742;61.564;42.138;45.745;58.621;55.732;41.195;42.902;57.143;57.143;48.897;58.280;47.059;58.621;57.680;43.438;52.212;45.283;43.671;42.020;45.714;50.784;58.280;59.365;41.406;46.552;42.357;58.621;45.912;46.130;45.324;45.794;40.256;43.210;44.136;41.615;41.615;50.704;41.587;49.356;45.171;46.417;54.185;47.305;49.074;45.820;44.373;48.916;47.546;41.587;45.714;38.292;50.704;43.218;45.794;41.980;44.366;64.577;67.834;38.871;43.137;68.471;68.471;51.163;70.701;44.944;64.263;75.232;45.515;51.032;44.245;43.667;41.584;42.904;48.544;70.701;72.756;43.411;51.628;45.246;64.577;42.125;40.149;34.700;47.785;46.532;34.700;34.700;39.667;35.849;43.478;39.777;45.848;45.507;42.197;54.277;47.278;49.838;50.000;44.126;35.849;39.873;42.809;47.085;50.470;40.149;43.558;38.629;36.630;39.873;40.989;40.989;62.376;45.390;73.615;43.252;42.671;47.126;52.510;42.587;40.604;45.565;46.970;45.902;45.390;42.453;37.786;60.726;42.807;43.558;59.306;41.509;40.694;60.568;60.568;47.191;59.621;99.365;60.615;43.269;50.445;47.471;39.617;38.535;42.123;45.455;59.621;66.456;36.538;49.524;39.319;100.000;34.628;38.486;89.490;89.490;45.411;82.166;42.025;58.675;63.871;38.170;47.493;39.264;40.062;38.644;38.854;42.633;82.166;62.420;38.189;45.714;37.618;59.306;41.358;33.333;33.333;40.777;33.333;37.241;39.062;38.608;44.164;39.329;49.226;47.840;42.997;43.692;38.125;33.333;36.909;43.820;35.870;44.795;41.509;40.694;40.694;50.000;41.956;43.629;40.379;41.176;59.249;43.402;53.009;54.857;50.974;52.848;42.120;41.956;41.270;42.000;48.558;49.530;40.694;100.000;45.411;84.395;42.806;59.937;65.484;40.694;47.493;39.877;40.125;39.394;41.083;44.201;84.395;64.331;37.945;45.833;37.975;60.568;45.411;84.395;42.806;59.937;65.484;40.694;47.493;39.877;40.125;39.394;41.083;44.201;84.395;64.331;37.945;45.833;37.975;60.568;47.343;65.965;46.816;49.761;50.820;55.310;51.429;44.828;50.000;44.366;52.209;47.343;50.476;39.927;75.304;51.220;47.191;44.172;58.991;66.129;39.159;48.083;40.190;39.490;39.456;41.325;45.768;100.000;64.331;39.130;47.619;39.557;59.621;45.732;42.765;47.893;50.896;45.487;42.509;46.209;45.238;46.875;44.172;48.927;41.315;64.561;48.899;60.372;46.591;49.852;47.082;40.067;37.898;41.438;44.828;58.991;66.139;37.134;49.048;39.319;99.365;45.487;50.305;47.826;43.709;43.894;45.485;47.634;66.129;66.349;40.217;47.107;42.295;60.615;52.672;52.874;52.586;48.696;52.312;41.261;39.159;42.857;42.958;52.609;47.975;43.269;46.628;43.402;41.349;43.235;50.147;48.083;54.142;43.023;53.982;39.706;50.445;68.391;55.738;54.627;45.238;40.190;41.905;52.239;50.952;66.250;47.471;54.098;53.061;40.341;39.490;40.317;52.206;44.335;64.557;39.617;54.516;40.449;39.456;42.122;48.582;49.524;51.140;38.535;45.714;41.325;43.671;50.193;44.203;51.887;42.123;45.768;50.955;45.192;50.602;42.368;45.455;64.331;39.130;47.619;39.557;59.621;41.577;51.442;40.125;66.456;39.841;50.193;36.538;50.244;49.524;39.319	41.781;59.621;64.375;44.337;50.000;40.520;47.471;46.269;45.483;100.000;59.621;60.568;46.395;40.694;50.445;59.621;60.568;49.524;38.264;39.404;39.319;41.132;43.269;39.552;66.456;60.615;58.621;100.000;39.617;43.558;39.117;44.983;50.732;50.732;50.287;44.898;54.790;52.381;47.239;41.781;41.401;40.764;45.143;52.848;43.235;41.401;40.764;50.244;44.568;54.516;51.887;43.385;52.312;43.733;43.987;45.695;45.714;41.781;52.586;46.970;68.571;46.667;46.667;34.385;41.718;39.752;35.962;38.762;59.621;82.803;89.172;44.201;38.801;48.083;82.803;89.172;46.667;35.028;38.983;37.931;35.275;38.486;33.898;63.057;64.194;56.369;59.621;40.062;38.629;53.333;53.810;43.390;47.232;45.862;48.101;44.828;64.375;71.154;68.590;49.530;42.767;51.032;71.154;68.590;53.333;37.500;42.671;45.079;37.931;45.667;36.944;72.756;75.394;62.187;64.375;43.396;44.286;75.949;47.222;69.421;51.429;46.581;50.704;44.337;43.431;46.759;46.711;50.000;49.638;43.431;46.759;76.489;41.453;50.952;49.758;41.748;53.478;41.036;43.034;50.718;48.162;44.337;45.320;65.763;40.278;65.965;51.429;46.154;50.235;50.000;48.095;46.296;51.004;49.048;54.425;48.095;46.296;99.379;41.453;50.000;50.732;35.354;53.478;40.637;51.923;47.934;46.897;50.000;44.335;62.046;43.478;54.572;46.957;45.820;40.520;36.164;35.016;43.840;46.821;42.486;36.164;35.016;39.583;40.616;50.968;50.784;48.101;45.797;40.278;40.190;46.209;41.824;40.520;47.564;42.491;45.487;46.094;48.927;44.172;42.806;46.528;43.629;50.896;44.172;42.806;65.278;38.783;46.209;48.899;36.552;47.893;37.736;48.927;42.765;47.059;42.509;73.615;47.447;49.845;47.471;40.190;39.877;44.643;53.009;46.628;40.190;39.877;50.952;45.833;56.061;66.250;49.536;52.874;46.389;41.905;47.826;45.283;47.471;67.816;42.587;46.462;46.269;37.942;37.261;49.421;48.696;43.988;37.942;37.261;46.154;45.126;44.337;45.253;40.952;46.784;37.778;50.435;48.523;43.344;46.269;46.064;44.238;45.483;38.629;41.615;46.012;42.202;46.567;38.629;41.615;49.765;46.091;43.963;42.271;40.741;54.626;47.107;44.444;46.106;45.031;45.483;45.201;49.378;59.621;60.568;46.395;40.694;50.445;59.621;60.568;49.524;38.264;39.404;39.319;41.132;43.269;39.552;66.456;60.615;58.621;100.000;39.617;43.558;84.076;46.708;41.956;48.083;100.000;84.076;48.095;35.503;39.456;39.557;33.016;39.159;34.551;64.331;66.129;58.280;59.621;39.172;45.390;45.455;40.694;47.198;84.076;100.000;46.296;34.320;39.731;37.975;33.645;40.694;32.958;64.013;65.484;56.825;60.568;39.812;40.989;42.693;50.440;46.708;45.455;50.602;38.339;39.888;43.302;37.812;41.261;34.722;52.229;48.896;52.038;46.395;40.341;45.574;43.402;41.956;40.694;46.606;40.278;50.649;49.530;41.358;59.249;39.722;41.270;41.176;42.902;40.694;54.571;39.873;48.083;47.198;53.982;43.023;41.642;39.706;39.939;52.672;36.667;54.142;50.305;52.212;50.445;43.109;52.510;84.076;48.095;35.503;39.456;39.557;33.016;39.159;34.551;64.331;66.129;58.280;59.621;39.172;45.390;46.296;34.320;39.731;37.975;33.645;40.694;32.958;64.013;65.484;56.825;60.568;39.812;40.989;41.026;49.524;50.244;35.017;53.043;40.239;51.442;47.521;46.552;49.524;43.842;61.716;44.413;45.251;43.820;38.268;80.274;37.255;42.481;44.944;38.264;47.253;38.372;51.140;42.997;48.696;45.000;42.357;43.564;42.628;39.404;54.381;45.565;44.479;47.975;45.378;40.125;42.295;42.357;39.319;64.241;42.807;43.849;36.592;36.677;37.460;40.694;41.132;47.222;36.090;38.674;42.857;45.487;43.438;43.269;52.874;47.126;41.577;40.433;35.278;39.552;45.833;37.786;66.349;59.365;66.456;39.683;42.453;57.680;60.615;43.087;42.671;58.621;43.671;45.745;39.617;43.558;40.702	75.316;43.929;44.203;59.615;48.327;44.660;43.396;46.595;48.357;58.974;64.968;48.544;64.650;50.909;64.650;46.643;47.442;47.348;43.711;42.258;46.414;65.287;45.865;56.740;42.951;43.919;62.975;49.388;44.898;42.295;42.020;50.235;62.338;68.790;43.775;69.427;51.796;69.745;44.262;43.320;45.695;43.711;45.230;40.264;69.745;48.679;61.442;49.841;40.328;43.137;62.893;49.032;51.887;45.894;40.656;39.564;48.571;39.875;40.176;39.252;64.780;50.558;51.572;42.633;44.776;44.479;40.187;50.667;43.533;43.730;45.876;51.911;46.628;45.821;51.724;43.730;38.438;50.000;38.125;51.471;37.920;52.011;38.557;51.437;53.812;43.810;45.687;38.801;49.808;43.218;51.250;40.138;39.116;42.105;44.371;99.038;58.280;39.925;58.917;51.368;59.554;43.894;37.847;42.268;43.125;43.034;41.053;59.236;51.351;59.683;37.778;43.333;40.529;61.290;51.250;51.339;39.496;50.893;53.175;48.000;43.096;43.158;40.000;40.840;58.892;42.396;50.000;53.824;48.333;53.443;50.625;42.857;40.138;39.308;51.504;39.498;43.068;39.308;65.805;51.880;55.486;46.440;43.382;48.562;39.812;44.840;44.340;49.521;49.524;39.116;39.394;40.153;39.731;42.651;39.604;54.955;38.619;52.273;42.724;45.174;44.918;39.057;46.931;41.250;37.179;42.481;36.593;46.333;36.449;40.563;36.137;53.448;46.000;51.713;45.201;41.135;46.319;37.539;43.866;41.066;44.371;47.143;37.805;47.143;50.714;45.714;44.872;39.904;48.095;47.887;62.376;43.810;41.264;66.534;53.431;57.962;39.925;58.599;50.760;58.917;43.894;37.847;41.924;42.500;43.034;42.105;58.917;51.351;59.365;39.921;96.815;47.788;88.217;40.184;30.808;40.127;41.066;40.845;35.350;93.631;43.925;59.236;40.711;34.383;40.784;49.254;84.521;51.737;40.248;36.700;44.186;41.502;38.760;43.411;48.083;88.535;40.881;31.061;40.127;41.693;40.845;35.669;94.268;44.548;59.236;48.378;45.349;37.037;43.275;46.450;53.358;51.883;48.968;52.083;53.687;41.718;38.340;39.172;40.308;40.845;42.424;88.854;45.848;59.236;40.796;53.448;47.840;43.934;47.022;40.566;47.253;45.570;41.147;47.143;41.429;47.210;38.976;38.760;43.798;47.368;43.537;49.216;41.401;45.578;46.057;44.161;44.000;41.693;50.649;46.226;45.344;40.845;73.464;45.211;36.943;48.511;42.320;44.548;58.599;46.970
87	PHKA2	phosphorylase kinase regulatory subunit alpha 2;phosphorylase kinase regulatory subunit alpha 1	68.629	68.790	68.109	68.403	67.780	68.039	68.468
